participant_id,mean_lang_fc,IFG_STG_left,IFG_STG_right,mean_fd
sub-pp128,0.7260984182357788,0.6623298525810242,0.5895779132843018,0.2446845364916388
sub-pp145,0.8657035827636719,1.1424232721328735,1.0761440992355347,0.1954556493607492
sub-pp009,0.48187434673309326,0.6512938737869263,0.6323835849761963,0.17905978668668898
sub-pp006,0.6145484447479248,0.7391253113746643,0.49162766337394714,0.09302743376069966
sub-pp010,0.8655538558959961,0.9011645317077637,0.7395698428153992,0.11109720753658862
sub-pp116,0.3365360200405121,0.48863500356674194,0.5274851322174072,0.03996657283511705
sub-pp021,0.6224892139434814,0.5635225176811218,0.8768813610076904,0.23736600948143813
sub-pp170,0.5683215856552124,0.49725401401519775,0.5059233903884888,0.0913509591251505
sub-pp099,0.7874029874801636,1.1439632177352905,0.6898764967918396,0.19744325147033445
sub-pp072,0.7923478484153748,0.9231926798820496,1.3571525812149048,0.10071829016648828
sub-pp105,0.7311476469039917,0.8838645219802856,0.8803637623786926,0.09203553127328427
sub-pp171,0.7269563674926758,0.7858070731163025,1.1132667064666748,0.15931528135936454
sub-pp045,0.3076707720756531,0.4698708653450012,0.7392204403877258,0.17106199650528428
sub-pp020,0.734100341796875,0.9617628455162048,0.8141787052154541,0.1716724599304883
sub-pp074,0.4309747517108917,0.6738044023513794,0.2742403447628021,0.12156719122889632
sub-pp013,0.7296327352523804,0.9355090856552124,1.0163078308105469,0.16573156650996654
sub-pp035,0.5387349724769592,0.622138261795044,0.43573227524757385,0.3485596051599331
sub-pp030,0.09189656376838684,0.020231172442436218,0.16363103687763214,0.05829660960844816
sub-pp033,0.9016910195350647,1.1482834815979004,1.5316781997680664,0.10476065681749162
sub-pp023,0.55390864610672,0.7646334171295166,0.4097996950149536,0.11778455459922742
sub-pp164,1.016175627708435,1.1508042812347412,1.0967191457748413,0.20757811390106354
sub-pp042,0.3113120496273041,0.5621311068534851,0.6165047883987427,0.07265097324866221
sub-pp106,0.6081729531288147,0.4068390429019928,0.9945970773696899,0.423974984845699
sub-pp092,0.5828307271003723,0.5233110785484314,0.972003698348999,0.30197431041270906
sub-pp150,0.5931335091590881,0.7553540468215942,0.762778103351593,0.21009867183953176
sub-pp112,0.7839524745941162,0.8294022679328918,1.0700747966766357,0.17938886207391305
sub-pp025,0.33233311772346497,0.8084717392921448,0.5612289309501648,0.12113745620822744
sub-pp032,0.30434927344322205,0.17963656783103943,-0.03808582201600075,0.1599851899781204
sub-pp155,0.519874632358551,0.7681345343589783,1.0622965097427368,0.06069776160628763
sub-pp052,0.4657233953475952,0.6352643370628357,0.3431152403354645,0.10620399445264214
sub-pp019,0.5190644860267639,0.8621354699134827,0.8173879384994507,0.14043365358287627
sub-pp162,0.2228890210390091,0.2980796992778778,0.4024430811405182,0.11376550080615383
